model,serialisation,seed,best_epoch,epochs_run,threshold,val_mcc,test_mcc,test_f1,test_precision,test_recall,test_tp,test_fp,test_tn,test_fn,train_s
bert-tiny,raw,42,6,10,0.09999999999999999,0.9993327109775545,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,775.0,0.0,3720.0,148.0,292.45953854202526
bert-tiny,raw,43,2,6,0.05,0.9946593809387134,0.8832068421267906,0.8986889153754469,0.9986754966887417,0.8169014084507042,754.0,1.0,3719.0,169.0,169.70064316602657
bert-tiny,raw,44,9,10,0.07,0.9993327109775545,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,767.0,0.0,3720.0,156.0,285.04104570799973
bert-mini,raw,42,6,10,0.05,0.9993327109775545,0.9414536780062017,0.9511363636363637,1.0,0.9068255687973997,837.0,0.0,3720.0,86.0,1126.2773144579842
bert-mini,raw,43,3,7,0.05,1.0,0.9297697163388557,0.9409064830751578,1.0,0.8884073672806068,820.0,0.0,3720.0,103.0,788.1560039169854
bert-mini,raw,44,9,10,0.05,0.9993327109775545,0.931146487514617,0.9421203438395416,1.0,0.8905742145178764,822.0,0.0,3720.0,101.0,1123.0863954580273
electra-small,raw,42,7,10,0.05,1.0,0.9021018359651629,0.916030534351145,1.0,0.8450704225352113,780.0,0.0,3720.0,143.0,3154.7718317919644
electra-small,raw,43,4,8,0.43999999999999995,1.0,0.9111226609979252,0.9242424242424242,1.0,0.8591549295774648,793.0,0.0,3720.0,130.0,2487.4637088750023
electra-small,raw,44,6,10,0.05,1.0,0.8965358984099838,0.9109144542772861,1.0,0.8364030335861322,772.0,0.0,3720.0,151.0,3117.8965726250317
tinybert-4l,raw,42,6,10,0.05,0.9993327109775545,0.999323832691371,0.9994579945799458,1.0,0.9989165763813651,922.0,0.0,3720.0,1.0,1863.322008749994
tinybert-4l,raw,43,1,5,0.05,0.9946593809387134,0.8839695817764007,0.8992248062015504,1.0,0.8169014084507042,754.0,0.0,3720.0,169.0,927.6237782079843
tinybert-4l,raw,44,1,5,0.05,0.9946593809387134,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,769.0,0.0,3720.0,154.0,923.6944025830016
minilm-l6,raw,42,8,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,767.0,0.0,3720.0,156.0,3368.856017415994
minilm-l6,raw,43,1,5,0.12,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,754.0,2.0,3718.0,169.0,1662.5007609589957
minilm-l6,raw,44,1,5,0.05,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,754.0,2.0,3718.0,169.0,1665.1815246249898
bert-tiny,readable,42,5,9,0.05,0.9946573621917656,0.8811686738052442,0.8965929468021518,1.0,0.8125677139761647,750.0,0.0,3720.0,173.0,263.390431332984
bert-tiny,readable,43,7,10,0.05,0.9986655031105425,0.9201152753563319,0.9323308270676691,1.0,0.8732394366197183,806.0,0.0,3720.0,117.0,285.720279000001
bert-tiny,readable,44,5,9,0.05,0.9953272499301964,0.8831463775593593,0.8988095238095238,0.9973579920739762,0.8179848320693391,755.0,2.0,3718.0,168.0,249.36855237500276
bert-mini,readable,42,3,7,0.24,0.9986653404923068,0.9366476826593744,0.9469480889903024,1.0,0.8992416034669556,830.0,0.0,3720.0,93.0,803.0731571250362
bert-mini,readable,43,4,8,0.05,0.9986653404923068,0.9014067157947814,0.9153936545240893,1.0,0.8439869989165764,779.0,0.0,3720.0,144.0,943.6270642500021
bert-mini,readable,44,2,6,0.05,0.9986653404923068,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,775.0,0.0,3720.0,148.0,681.9258249590057
electra-small,readable,42,4,8,0.08,1.0,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,769.0,0.0,3720.0,154.0,2521.469026084
electra-small,readable,43,4,8,0.05,0.9993332368492569,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,767.0,0.0,3720.0,156.0,2491.9777829580125
electra-small,readable,44,5,9,0.05,1.0,0.9476228021522426,0.9564725833804409,1.0,0.9165763813651138,846.0,0.0,3720.0,77.0,2838.77482362499
tinybert-4l,readable,42,7,10,0.05,0.9973387504825452,0.9496767402548472,0.9582392776523702,1.0,0.9198266522210184,849.0,0.0,3720.0,74.0,1907.188973124983
tinybert-4l,readable,43,9,10,0.08,0.9980026146387657,0.8972322674810762,0.9115566037735849,1.0,0.8374864572047671,773.0,0.0,3720.0,150.0,1914.5286129160086
tinybert-4l,readable,44,7,10,0.6399999999999999,0.9986655031105425,0.8993202944908955,0.9134785167745733,1.0,0.8407367280606717,776.0,0.0,3720.0,147.0,2115.2310155830055
minilm-l6,readable,42,7,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,767.0,0.0,3720.0,156.0,3424.927412665973
minilm-l6,readable,43,5,9,0.05,0.9986653404923068,0.9387082446799934,0.94874715261959,1.0,0.9024918743228603,833.0,0.0,3720.0,90.0,3048.8014705000096
minilm-l6,readable,44,4,8,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,767.0,0.0,3720.0,156.0,2733.806209625036
