model,serialisation,seed,n_params,best_epoch,epochs_run,train_s,threshold,run_dir,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_tp,test_fp,test_tn,test_fn,test_false_positive_rate,test_false_negative_rate,test_pr_auc,test_roc_auc,test05_accuracy,test05_balanced_accuracy,test05_precision,test05_recall,test05_f1,test05_mcc,test05_tp,test05_fp,test05_tn,test05_fn,test05_false_positive_rate,test05_false_negative_rate,test05_pr_auc,test05_roc_auc,rec_ddos_wisenet-camera_80,rec_dos_wisenet-camera_554,rec_dos_wisenet-camera_80,disk_mb,rss_mb,lat_p50,lat_p95,lat_p99,lat_threads,fps,order
bert-tiny,raw,42,4386178,6,10,292.45953854202526,0.09999999999999999,experiments/stage1_full_13_rawnames/bert-tiny_s42,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999988742617972,0.9999997102698893,0.9681240577213008,0.9198266522210183,1.0,0.8396533044420368,0.9128386336866903,0.8986244648243573,775.0,0.0,3720.0,148.0,0.0,0.16034669555796316,0.9972582307627462,0.999301599506052,0.9646780099073875,0.9111592632719393,1.0,0.8223185265438786,0.9024970273483948,0.8874663537439647,759.0,0.0,3720.0,164.0,0.0,0.17768147345612134,0.9972582307627462,0.999301599506052,0.7333333333333333,0.9966666666666668,0.7986348122866894,18.494472,23.183359999999993,0.939813005970791,1.1065895349020138,1.340683479211293,1.0,1044.9005467654895,0
bert-tiny,raw,43,4386178,2,6,169.70064316602657,0.05,experiments/stage1_full_13_rawnames/bert-tiny_s43,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9966017841413355,0.9981040061561853,0.96338574197717,0.9083162956232016,0.9986754966887417,0.8169014084507042,0.8986889153754469,0.8832068421267906,754.0,1.0,3719.0,169.0,0.00026881720430107527,0.18309859154929578,0.8849363486987893,0.8776350202122578,0.96338574197717,0.9083162956232016,0.9986754966887417,0.8169014084507042,0.8986889153754469,0.8832068421267906,754.0,1.0,3719.0,169.0,0.00026881720430107527,0.18309859154929578,0.8849363486987893,0.8776350202122578,0.6848484848484848,0.9966666666666668,0.7815699658703071,,,,,,,,0
bert-tiny,raw,44,4386178,9,10,285.04104570799973,0.07,experiments/stage1_full_13_rawnames/bert-tiny_s44,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9998836084588556,0.9999663913071695,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9997386666484962,0.9999365090460047,0.9664010338143442,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,0.8930513209934945,767.0,0.0,3720.0,156.0,0.0,0.16901408450704225,0.9997386666484962,0.9999365090460047,0.7242424242424242,0.9966666666666668,0.7815699658703071,,,,,,,,0
bert-mini,raw,42,11171074,6,10,1126.2773144579842,0.05,experiments/stage1_full_13_rawnames/bert-mini_s42,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999899535855653,0.9999973924290045,0.9814774930002154,0.9534127843986999,1.0,0.9068255687973997,0.9511363636363637,0.9414536780062017,837.0,0.0,3720.0,86.0,0.0,0.09317443120260022,0.9983406164695837,0.9995846876128565,0.9808313590351067,0.9517876489707475,1.0,0.9035752979414952,0.9493454752418896,0.9393948142552813,834.0,0.0,3720.0,89.0,0.0,0.09642470205850487,0.9983406164695837,0.9995846876128565,0.8363636363636363,0.9966666666666668,0.89419795221843,45.637769,34.58662399999997,3.5356454900465906,3.7730273703346024,4.531254986068234,1.0,280.9035028637568,1
bert-mini,raw,43,11171074,3,7,788.1560039169854,0.05,experiments/stage1_full_13_rawnames/bert-mini_s43,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9778160671979323,0.9442036836403034,1.0,0.8884073672806068,0.9409064830751578,0.9297697163388557,820.0,0.0,3720.0,103.0,0.0,0.11159263271939328,0.9994836965428336,0.9998607858898636,0.9694163256515184,0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666,0.9027967804823966,781.0,0.0,3720.0,142.0,0.0,0.15384615384615385,0.9994836965428336,0.9998607858898636,0.806060606060606,0.9966666666666668,0.8703071672354948,,,,,,,,1
bert-mini,raw,44,11171074,9,10,1123.0863954580273,0.05,experiments/stage1_full_13_rawnames/bert-mini_s44,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999955113271659,0.9999988410795575,0.9782468231746716,0.9452871072589382,1.0,0.8905742145178764,0.9421203438395416,0.931146487514617,822.0,0.0,3720.0,101.0,0.0,0.1094257854821235,0.9999929456711453,0.9999982525425506,0.9748007753607582,0.9366197183098591,1.0,0.8732394366197183,0.9323308270676691,0.9201152753563319,806.0,0.0,3720.0,117.0,0.0,0.1267605633802817,0.9999929456711453,0.9999982525425506,0.8121212121212121,1.0,0.8668941979522184,,,,,,,,1
electra-small,raw,42,13549314,7,10,3154.7718317919644,0.05,experiments/stage1_full_13_rawnames/electra-small_s42,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9692009476631488,0.9225352112676056,1.0,0.8450704225352113,0.916030534351145,0.9021018359651629,780.0,0.0,3720.0,143.0,0.0,0.15492957746478872,0.997985231371222,0.9994652780204801,0.9685548136980401,0.9209100758396533,1.0,0.8418201516793066,0.9141176470588235,0.9000159457469714,777.0,0.0,3720.0,146.0,0.0,0.1581798483206934,0.997985231371222,0.9994652780204801,0.7393939393939394,1.0,0.8054607508532423,55.166463,72.302592,10.659812483936548,11.297370522515848,11.923318845801985,1.0,93.0567913395042,2
electra-small,raw,43,13549314,4,8,2487.4637088750023,0.43999999999999995,experiments/stage1_full_13_rawnames/electra-small_s43,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9720008615119535,0.9295774647887324,1.0,0.8591549295774648,0.9242424242424242,0.9111226609979252,793.0,0.0,3720.0,130.0,0.0,0.14084507042253522,0.9446395048678636,0.9470680576427963,0.9717854835235838,0.9290357529794149,1.0,0.8580715059588299,0.9236151603498542,0.9104297714698916,792.0,0.0,3720.0,131.0,0.0,0.1419284940411701,0.9446395048678636,0.9470680576427963,0.7727272727272727,1.0,0.8122866894197952,,,,,,,,2
electra-small,raw,44,13549314,6,10,3117.8965726250317,0.05,experiments/stage1_full_13_rawnames/electra-small_s44,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9674779237561921,0.9182015167930662,1.0,0.8364030335861322,0.9109144542772861,0.8965358984099838,772.0,0.0,3720.0,151.0,0.0,0.1635969664138678,0.9999976549272325,0.9999994175141835,0.9668317897910833,0.9165763813651138,1.0,0.8331527627302275,0.9089834515366431,0.8944457011909956,769.0,0.0,3720.0,154.0,0.0,0.1668472372697725,0.9999976549272325,0.9999994175141835,0.7242424242424242,1.0,0.7952218430034129,,,,,,,,2
tinybert-4l,raw,42,14350874,6,10,1863.322008749994,0.05,experiments/stage1_full_13_rawnames/tinybert-4l_s42,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999988742617971,0.9999997102698894,0.9997846220116304,0.9994582881906826,1.0,0.9989165763813651,0.9994579945799458,0.999323832691371,922.0,0.0,3720.0,1.0,0.0,0.0010834236186348862,0.9999988274636162,0.9999997087570918,0.9997846220116304,0.9994582881906826,1.0,0.9989165763813651,0.9994579945799458,0.999323832691371,922.0,0.0,3720.0,1.0,0.0,0.0010834236186348862,0.9999988274636162,0.9999997087570918,1.0,1.0,0.9965870307167236,58.357043,48.72601599999996,5.728957999963313,5.990518754697405,6.701279229018837,1.0,173.67860378223162,3
